recipe_name|item_url|rank|cooldown_timer|station|vendor|gold|ingredient_names
Arcane Ampul|http://www.wizard101central.com/wiki/Item:Arcane_Ampul|Grandmaster Artisan|009:30:00|Equipment Crafting Station|Pierce Stanson|1,567|[('5', 'Mutate Minotaur (Sun)'), ('6', 'Perfect Peridot'), ('5', 'Pristine Vial'), ('5', 'Sunstone'), ('9', 'Golden Pearl'), ('8', 'Fish Fin'), ('10', 'Sandstone')]
Argent Rose Seal|http://www.wizard101central.com/wiki/Item:Argent_Rose_Seal|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,190|[('1', 'Gargantuan'), ('1', 'Empowerment'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Ancient Scroll'), ('13', 'Bronze Gear'), ('12', 'Ectoplasm')]
Battlefield Blessing Charm|http://www.wizard101central.com/wiki/Item:Battlefield_Blessing_Charm|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,760|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('13', 'Aquamarine'), ('7', 'Pearl'), ('16', 'Water Lily')]
Charm of Northwinds Armor|http://www.wizard101central.com/wiki/Item:Charm_of_Northwind%27s_Armor|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,755|[('4', 'Ghost Fire'), ('7', 'Pristine Vial'), ('17', 'Fire Blossom'), ('12', 'Kelp'), ('11', 'Fossil')]
Charm of Stony Snakes|http://www.wizard101central.com/wiki/Item:Charm_of_Stony_Snakes|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|12,420|[('1', 'Medusa'), ('9', 'Ghost Fire'), ('10', 'Pristine Vial'), ('15', 'Golden Pearl'), ('12', 'Scales')]
Cold Wind Charm of Zamunda|http://www.wizard101central.com/wiki/Item:Cold_Wind_Charm_of_Zamunda|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|12,420|[('1', 'Snow Angel'), ('9', 'Ghost Fire'), ('10', 'Pristine Vial'), ('15', 'Grendelweed'), ('12', 'Ectoplasm')]
Crisp Choker|http://www.wizard101central.com/wiki/Item:Crisp_Choker|Grandmaster Artisan|008:50:00|Equipment Crafting Station|Aegeus|1,457|[('5', 'Gargantuan'), ('5', 'Perfect Sapphire'), ('5', 'Pristine Vial'), ('4', 'Sunstone'), ('8', 'Golden Pearl'), ('8', 'Fish Fin'), ('14', 'Shell')]
Dark of the Moon Necklace|http://www.wizard101central.com/wiki/Item:Dark_of_the_Moon_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,750|[('6', 'Ghost Fire'), ('6', 'Pristine Vial'), ('13', 'Aquamarine'), ('9', 'Lava Lily'), ('12', 'Ancient Scroll')]
Dawnfire Necklace|http://www.wizard101central.com/wiki/Item:Dawnfire_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,755|[('4', 'Ghost Fire'), ('7', 'Pristine Vial'), ('14', 'Frost Flower'), ('11', 'Black Lotus'), ('9', 'Spring')]
Deep-Deep Desert Charm|http://www.wizard101central.com/wiki/Item:Deep-Deep_Desert_Charm|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('4', 'Vengeance'), ('3', 'Sabertooth'), ('4', 'Sandstone'), ('8', 'Turquoise'), ('20', 'Stone Block'), ('20', 'Perfect Citrine')]
Delightful Artisan Rope|http://www.wizard101central.com/wiki/Item:Delightful_Artisan_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|"[('1', 'Wunderbar Artisan Rope'), ('50', 'Perfect Peridot'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', ""Witch's House Call (1,035-1,175)"")]"
Delightful Dreamsearcher Rope|http://www.wizard101central.com/wiki/Item:Delightful_Dreamsearcher_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Dreamsearcher Rope'), ('50', 'Perfect Citrine'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Nested Fury (805-970-1,050)')]
Delightful Freshbaker Rope|http://www.wizard101central.com/wiki/Item:Delightful_Freshbaker_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Freshbaker Rope'), ('50', 'Perfect Ruby'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Raging Bull (705-825)')]
Delightful Sciencer Rope|http://www.wizard101central.com/wiki/Item:Delightful_Sciencer_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|"[('1', 'Wunderbar Sciencer Rope'), ('50', 'Perfect Amethyst'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', ""Rusalka's Wrath (1,350)"")]"
Delightful Sentamental Rope|http://www.wizard101central.com/wiki/Item:Delightful_Sentamental_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Sentamentalist Rope'), ('50', 'Perfect Onyx'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Winged Sorrow (800-980)')]
Delightful Sweetsmith Rope|http://www.wizard101central.com/wiki/Item:Delightful_Sweetsmith_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Sweetsmith Rope'), ('50', 'Perfect Jade'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Wings of Fate (75+375)')]
Delightful Wonderneer Rope|http://www.wizard101central.com/wiki/Item:Delightful_Wonderneer_Rope|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Wonderneer Rope'), ('50', 'Perfect Sapphire'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Snowball Barrage (95)')]
Dragonspyre Dragoons Charm|http://www.wizard101central.com/wiki/Item:Dragonspyre_Dragoon%27s_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Dragonspyre Vanguard's Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragonspyre Vanguards Charm|http://www.wizard101central.com/wiki/Item:Dragonspyre_Vanguard%27s_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|30,000|[('180', 'Alchemical Extract'), ('30', 'Alchemical Salts'), ('3', 'Alchemical Crystals')]
Dragoons Balanced Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Balanced_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Balanced Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragoons Deadly Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Deadly_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Deadly Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragoons Fiery Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Fiery_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Fiery Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragoons Icy Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Icy_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Icy Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragoons Mythic Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Mythic_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Mythic Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragoons Shocking Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Shocking_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Shocking Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Dragoons Vibrant Charm|http://www.wizard101central.com/wiki/Item:Dragoon%27s_Vibrant_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|50,000|"[('1', ""Vanguard's Vibrant Charm""), ('300', 'Alchemical Extract'), ('50', 'Alchemical Salts'), ('5', 'Alchemical Crystals')]"
Earthquake Amulet|http://www.wizard101central.com/wiki/Item:Earthquake_Amulet|Grandmaster Artisan|008:20:00|Equipment Crafting Station|Charlotte Heath|1,375|[('4', 'Minotaur'), ('4', 'Perfect Peridot'), ('4', 'Pristine Vial'), ('10', 'Golden Pearl'), ('13', 'Scales'), ('18', 'Fossil')]
Empowered Talisman|http://www.wizard101central.com/wiki/Item:Empowered_Talisman|Grandmaster Artisan|007:40:00|Equipment Crafting Station|Charlotte Heath|1,265|[('4', 'Skeletal Pirate'), ('4', 'Perfect Onyx'), ('4', 'Pristine Vial'), ('16', 'Aether'), ('10', 'Scales'), ('18', 'Fossil')]
Fervent Charm|http://www.wizard101central.com/wiki/Item:Fervent_Charm|Grandmaster Artisan|008:50:00|Equipment Crafting Station|Aegeus|1,457|[('5', 'Unstoppable'), ('5', 'Perfect Ruby'), ('5', 'Pristine Vial'), ('4', 'Sunstone'), ('8', 'Golden Pearl'), ('8', 'Fish Fin'), ('15', 'Shell')]
Forsaken Pendant|http://www.wizard101central.com/wiki/Item:Forsaken_Pendant|Grandmaster Artisan|008:20:00|Equipment Crafting Station|Aegeus|1,375|[('5', 'Amplify'), ('4', 'Perfect Onyx'), ('5', 'Pristine Vial'), ('3', 'Sunstone'), ('7', 'Golden Pearl'), ('8', 'Fish Fin'), ('8', 'Shell')]
Garden of Vida Memento|http://www.wizard101central.com/wiki/Item:Garden_of_Vida_Memento|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('4', 'Fortify'), ('3', 'Spinysaur'), ('6', 'Grendelweed'), ('8', 'Agave Nectar'), ('20', 'Kelp'), ('20', 'Perfect Jade')]
Green Collar of Stone Town|http://www.wizard101central.com/wiki/Item:Green_Collar_of_Stone_Town|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|12,375|[('1', 'Forest Lord'), ('9', 'Ghost Fire'), ('10', 'Pristine Vial'), ('15', 'Kelp'), ('12', 'Spider Silk')]
Heroic Torc|http://www.wizard101central.com/wiki/Item:Heroic_Torc|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,197|[('1', 'Gargantuan'), ('1', 'Vengeance'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Grendelweed'), ('13', 'Ectoplasm'), ('12', 'Bronze Gear')]
Hoppers Desert Relic|http://www.wizard101central.com/wiki/Item:Hopper%27s_Desert_Relic|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('4', 'Amplify'), ('3', 'Sun Serpent'), ('4', 'Sunstone'), ('8', 'Turquoise'), ('20', 'Fire Blossom'), ('20', 'Perfect Ruby')]
Hoppers Dustdevil Jewel|http://www.wizard101central.com/wiki/Item:Hopper%27s_Dustdevil_Jewel|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('1', 'Colossal'), ('3', 'Storm Owl'), ('5', 'Scrap Iron'), ('8', 'Turquoise'), ('20', 'Water Lily'), ('20', 'Perfect Amethyst')]
Iceblade Vial|http://www.wizard101central.com/wiki/Item:Iceblade_Vial|Grandmaster Artisan|008:50:00|Equipment Crafting Station|Charlotte Heath|1,265|[('2', 'Polymorph Gobbler'), ('3', 'Perfect Sapphire'), ('4', 'Pristine Vial'), ('16', 'Aether'), ('15', 'Shell'), ('20', 'Water Lily')]
Jade Skycarrier Pendant|http://www.wizard101central.com/wiki/Item:Jade_Skycarrier_Pendant|Transcendent Crafter|036:40:00|Equipment Crafting Station|Yaxche|3,600|[('1', 'Colossal'), ('3', 'Sirens'), ('15', 'Perfect Amethyst'), ('3', 'Golden Pearl'), ('20', 'Black Lotus'), ('4', 'Turquoise')]
Lifetree Amulet|http://www.wizard101central.com/wiki/Item:Lifetree_Amulet|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,197|[('1', 'Gargantuan'), ('1', 'Amplify'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Black Pearl'), ('13', 'Bone'), ('12', 'Scales')]
Longshadows Vial of Gloom|http://www.wizard101central.com/wiki/Item:Longshadow%27s_Vial_of_Gloom|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('1', 'Colossal'), ('3', 'Avenging Fossil'), ('4', 'Nightshade'), ('8', 'Agave Nectar'), ('20', 'Blood Moss'), ('20', 'Perfect Onyx')]
Moon of Talos Amulet|http://www.wizard101central.com/wiki/Item:Moon_of_Talos_Amulet|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,750|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('5', 'Sunstone'), ('15', 'Nightshade'), ('9', 'Spring')]
Moons Grace Necklace|http://www.wizard101central.com/wiki/Item:Moon%27s_Grace_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,760|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('14', 'Frost Flower'), ('14', 'Diamond'), ('12', 'Blood Moss')]
Moons Radiance Necklace|http://www.wizard101central.com/wiki/Item:Moon%27s_Radiance_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,750|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('16', 'Fire Blossom'), ('10', 'Black Lotus'), ('18', 'Water Lily')]
Mother Moons Hushed Charm|http://www.wizard101central.com/wiki/Item:Mother_Moon%27s_Hushed_Charm|Transcendent Crafter|036:40:00|Equipment Crafting Station|Yaxche|3,590|[('4', 'Fortify'), ('3', 'Gnomes!'), ('15', 'Perfect Jade'), ('6', 'Grendelweed'), ('20', 'Kelp'), ('4', 'Agave Nectar')]
Necklace of the Lizard King|http://www.wizard101central.com/wiki/Item:Necklace_of_the_Lizard_King|Transcendent Crafter|036:40:00|Equipment Crafting Station|Yaxche|3,585|"[('1', 'Colossal'), ('3', ""Dr. Von's Monster""), ('15', 'Perfect Onyx'), ('4', 'Black Pearl'), ('20', 'Blood Moss'), ('4', 'Agave Nectar')]"
Northwinds Shielding Charm|http://www.wizard101central.com/wiki/Item:Northwind%27s_Shielding_Charm|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,765|[('4', 'Ghost Fire'), ('7', 'Pristine Vial'), ('5', 'Sunstone'), ('8', 'Sandstone'), ('19', 'Acorn')]
Pearl of the Elementals|http://www.wizard101central.com/wiki/Item:Pearl_of_the_Elementals|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,750|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('15', 'Aether'), ('15', 'Diamond'), ('12', 'Fossil')]
Pendant of Pandemonium|http://www.wizard101central.com/wiki/Item:Pendant_of_Pandemonium|Grandmaster Artisan|009:30:00|Equipment Crafting Station|Aegeus|1,567|[('8', 'Polymorph Cat Bandit'), ('6', 'Amethyst'), ('5', 'Pristine Vial'), ('5', 'Sunstone'), ('9', 'Golden Pearl'), ('8', 'Fish Fin'), ('12', 'Pearl')]
Proportional Pendant|http://www.wizard101central.com/wiki/Item:Proportional_Pendant|Grandmaster Artisan|008:20:00|Equipment Crafting Station|Aegeus|1,375|[('5', 'Fortify'), ('5', 'Perfect Citrine'), ('5', 'Pristine Vial'), ('3', 'Sunstone'), ('7', 'Golden Pearl'), ('8', 'Fish Fin'), ('13', 'Shell')]
Raven Spirit Necklace|http://www.wizard101central.com/wiki/Item:Raven_Spirit_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,750|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('14', 'Frost Flower'), ('12', 'Pearl'), ('17', 'Acorn')]
Ravens Shadow Necklace|http://www.wizard101central.com/wiki/Item:Raven%27s_Shadow_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,760|[('4', 'Ghost Fire'), ('7', 'Pristine Vial'), ('8', 'Golden Pearl'), ('15', 'Nightshade'), ('12', 'Blood Moss')]
Sanctuary Collar|http://www.wizard101central.com/wiki/Item:Sanctuary_Collar|Grandmaster Artisan|008:10:00|Equipment Crafting Station|Charlotte Heath|1,375|[('2', 'Centaur'), ('4', 'Perfect Jade'), ('4', 'Pristine Vial'), ('10', 'Golden Pearl'), ('13', 'Scales'), ('18', 'Fossil')]
Sandstone Village Talisman|http://www.wizard101central.com/wiki/Item:Sandstone_Village_Talisman|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('4', 'Vengeance'), ('3', 'Celestial Calendar'), ('5', 'Fossil'), ('8', 'Turquoise'), ('20', 'Pearl'), ('20', 'Perfect Peridot')]
Seal of the Seven Seas|http://www.wizard101central.com/wiki/Item:Seal_of_the_Seven_Seas|Master Artisan|000:20:00|Equipment Crafting Station|Pierce Stanson|1,787|[('5', 'Polymorph Treant'), ('7', 'Perfect Jade'), ('5', 'Pristine Vial'), ('6', 'Sunstone'), ('11', 'Golden Pearl'), ('8', 'Fish Fin'), ('10', 'Sandstone')]
Shakas Tamed Serpent Choker|http://www.wizard101central.com/wiki/Item:Shaka%27s_Tamed_Serpent_Choker|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|12,375|[('1', 'Leviathan'), ('9', 'Ghost Fire'), ('10', 'Pristine Vial'), ('15', 'Aether'), ('12', 'Fish Fin')]
Silver Rose Pendant|http://www.wizard101central.com/wiki/Item:Silver_Rose_Pendant|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,197|[('1', 'Gargantuan'), ('1', 'Fortify'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Fire Blossom'), ('13', 'Leather Straps'), ('12', 'Fish Fin')]
Skystorm Necklace|http://www.wizard101central.com/wiki/Item:Skystorm_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|4,065|[('4', 'Ghost Fire'), ('8', 'Pristine Vial'), ('9', 'Black Pearl'), ('16', 'Lava Lily'), ('16', 'Scales')]
Smashing Claw Charm|http://www.wizard101central.com/wiki/Item:Smashing_Claw_Charm|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,755|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('14', 'Aether'), ('11', 'Black Lotus'), ('13', 'Ancient Scroll')]
Smoking Vial|http://www.wizard101central.com/wiki/Item:Smoking_Vial|Grandmaster Artisan|007:40:00|Equipment Crafting Station|Charlotte Heath|1,265|[('4', 'Phoenix'), ('3', 'Perfect Ruby'), ('4', 'Pristine Vial'), ('16', 'Aether'), ('10', 'Scales'), ('18', 'Fossil')]
Spellwrought Band|http://www.wizard101central.com/wiki/Item:Spellwrought_Band|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,192|[('1', 'Gargantuan'), ('1', 'Infallible'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Kelp'), ('13', 'Spider Silk'), ('12', 'Bone')]
Sun Kings Amulet|http://www.wizard101central.com/wiki/Item:Sun_King%27s_Amulet|Transcendent Crafter|036:40:00|Equipment Crafting Station|Yaxche|3,600|[('4', 'Fortify'), ('3', 'Woolly Mammoth'), ('15', 'Perfect Sapphire'), ('6', 'Diamond'), ('20', 'Pearl'), ('4', 'Agave Nectar')]
Sunbright Savannah Necklace|http://www.wizard101central.com/wiki/Item:Sunbright_Savannah_Necklace|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|12,420|[('1', 'Ra'), ('9', 'Ghost Fire'), ('10', 'Pristine Vial'), ('15', 'Ancient Scroll'), ('12', 'Bronze Gear')]
Terrible Sun Amulet|http://www.wizard101central.com/wiki/Item:Terrible_Sun_Amulet|Transcendent Crafter|036:40:00|Equipment Crafting Station|Yaxche|3,590|[('3', 'Amplify'), ('3', 'Rain of Fire'), ('15', 'Perfect Ruby'), ('4', 'Diamond'), ('20', 'Fire Blossom'), ('4', 'Turquoise')]
Token of the Underworld Sun|http://www.wizard101central.com/wiki/Item:Token_of_the_Underworld_Sun|Transcendent Crafter|036:40:00|Equipment Crafting Station|Yaxche|3,585|[('3', 'Vengeance'), ('2', 'Basilisk'), ('15', 'Perfect Peridot'), ('5', 'Fossil'), ('20', 'Ore'), ('5', 'Turquoise')]
Traders Snowdrift Charm|http://www.wizard101central.com/wiki/Item:Trader%27s_Snowdrift_Charm|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|3,735|[('4', 'Fortify'), ('3', 'Lord of Winter'), ('6', 'Diamond'), ('8', 'Agave Nectar'), ('20', 'Ore'), ('20', 'Perfect Sapphire')]
Triskelion Torc|http://www.wizard101central.com/wiki/Item:Triskelion_Torc|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,197|[('1', 'Gargantuan'), ('1', 'Berserk'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Golden Pearl'), ('13', 'Scales'), ('12', 'Leather Straps')]
Tritons Torc|http://www.wizard101central.com/wiki/Item:Triton%27s_Torc|Grandmaster Artisan|007:40:00|Equipment Crafting Station|Charlotte Heath|1,265|[('4', 'Stormzilla'), ('3', 'Perfect Amethyst'), ('4', 'Pristine Vial'), ('16', 'Aether'), ('10', 'Scales'), ('18', 'Fossil')]
Ursine Gold Band|http://www.wizard101central.com/wiki/Item:Ursine_Gold_Band|Legendary Artisan|036:40:00|Equipment Crafting Station|Shane MacGobhann|3,197|[('1', 'Gargantuan'), ('1', 'Mend'), ('10', 'Ghost Fire'), ('10', 'Pristine Vial'), ('16', 'Aether'), ('13', 'Fish Fin'), ('12', 'Spider Silk')]
Valors Blood Necklace|http://www.wizard101central.com/wiki/Item:Valor%27s_Blood_Necklace|Grandmaster Artisan|008:20:00|Grizzleheim Crafting Station|Ingulf the Grower|3,750|[('7', 'Ghost Fire'), ('6', 'Pristine Vial'), ('16', 'Aether'), ('16', 'Fish Fin'), ('13', 'Scales')]
Vanguards Balanced Charm|http://www.wizard101central.com/wiki/Item:Vanguard%27s_Balanced_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|30,000|[('180', 'Alchemical Extract'), ('30', 'Alchemical Salts'), ('3', 'Alchemical Crystals')]
Vanguards Deadly Charm|http://www.wizard101central.com/wiki/Item:Vanguard%27s_Deadly_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|30,000|[('180', 'Alchemical Extract'), ('30', 'Alchemical Salts'), ('3', 'Alchemical Crystals')]
Vanguards Fiery Charm|http://www.wizard101central.com/wiki/Item:Vanguard%27s_Fiery_Charm|Visionary Crafter|000:00:30|Equipment Crafting Station|Zasha EmberForge|30,000|[('180', 'Alchemical Extract'), ('30', 'Alchemical Salts'), ('3', 'Alchemical Crystals')]
